-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90
0.0,0.0,0.01477,0.034302,0.02898,0.06163,0.080921,0.097284,0.11059,0.13471,0.15597,0.16829,0.19116,0.23094,0.26136,0.30945,0.37053,0.43641
0.0,0.0,0.017866,0.043587,0.041361,0.080201,0.097945,0.12669,0.14155,0.16567,0.17918,0.23794,0.28557,0.39345,0.47648,0.57874,0.66768,0.78927
0.0,0.0,0.0054846,0.034302,0.030527,0.060082,0.073183,0.091094,0.11059,0.13781,0.20394,0.30913,0.43414,0.63797,0.80613,0.93006,1.0855,1.2458
0.0,0.0,0.016318,0.02192,0.021242,0.053891,0.062349,0.072522,0.11059,0.1734,0.31538,0.4933,0.70807,0.96143,1.1776,1.2938,1.4477,1.6234
0.0,0.0,0.013223,0.025016,0.013503,0.049249,0.056159,0.072522,0.13845,0.22448,0.45002,0.70842,0.96808,1.2168,1.419,1.5383,1.6752,1.8076
0.0,0.001887,0.0054846,0.018825,0.024337,0.053891,0.056159,0.07407,0.17405,0.32662,0.60478,0.88795,1.1584,1.3716,1.532,1.6636,1.7758,1.8726
0.0,0.0034347,0.0085799,0.025016,0.019694,0.044606,0.04842,0.087998,0.2019,0.41948,0.7255,1.0087,1.2559,1.4644,1.6032,1.7132,1.8284,1.9221
0.0,0.0,0.0070323,0.01573,0.016599,0.043058,0.053063,0.097284,0.24679,0.51234,0.81062,1.1108,1.3364,1.5294,1.6326,1.7488,1.8439,1.9423
0.0,0.0003394,0.003937,0.02192,0.016599,0.044606,0.043777,0.10502,0.30095,0.59436,0.8911,1.1959,1.3983,1.5604,1.6496,1.7565,1.8439,1.9438
0.0,0.001887,0.0054846,0.026563,0.018146,0.04151,0.051516,0.11895,0.35512,0.6702,0.95146,1.2331,1.4184,1.5836,1.6604,1.7565,1.8408,1.9454
0.0,0.0080776,0.010128,0.018825,0.018146,0.033772,0.057706,0.12514,0.39226,0.7352,0.97777,1.2578,1.4277,1.5944,1.6805,1.7782,1.847,1.9392
0.0015929,0.0034347,0.0085799,0.01573,0.010408,0.03532,0.060802,0.14062,0.41548,0.7677,1.0025,1.2857,1.4215,1.6006,1.6991,1.7782,1.8392,1.9469
0.0,0.0,0.013223,0.014182,0.0,0.038415,0.062349,0.15764,0.4356,0.80639,1.0226,1.2718,1.4448,1.596,1.7022,1.7782,1.8284,1.9392
0.0,0.0049823,0.003937,0.01573,0.0026699,0.036867,0.057706,0.16538,0.47429,0.85127,1.0381,1.2872,1.468,1.5913,1.6945,1.7813,1.8222,1.9237
0.0,0.0,0.003937,0.011087,0.0042176,0.032224,0.054611,0.19324,0.51762,0.85437,1.0613,1.2826,1.4711,1.5758,1.6697,1.7766,1.8207,1.9345
0.0,0.0,0.003937,0.017277,0.0088605,0.033772,0.057706,0.21955,0.53155,0.86675,1.0567,1.2857,1.4649,1.5727,1.6759,1.7782,1.8269,1.9113
0.0,0.0,0.0070323,0.017277,0.011956,0.038415,0.066992,0.22729,0.55167,0.89151,1.0613,1.281,1.4726,1.5697,1.6759,1.7689,1.8098,1.8943
0.0,0.0034347,0.0008417,0.018825,0.0073128,0.038415,0.066992,0.23812,0.58108,0.9008,1.0706,1.2671,1.4726,1.5619,1.6589,1.7549,1.7882,1.9005
0.0,0.001887,0.0085799,0.011087,0.0,0.032224,0.06854,0.25514,0.5981,0.91472,1.0861,1.2764,1.4726,1.5635,1.6604,1.7472,1.782,1.8896
0.0,0.0096253,0.0023893,0.011087,0.0,0.032224,0.071635,0.25824,0.60893,0.93175,1.0784,1.264,1.4711,1.5557,1.662,1.7348,1.7944,1.8757
0.0,0.011173,0.0085799,0.018825,0.0073128,0.029129,0.066992,0.26288,0.62596,0.93639,1.0784,1.2656,1.4571,1.5588,1.6558,1.7317,1.7851,1.8695
0.0,0.00653,0.003937,0.023468,0.0042176,0.033772,0.06854,0.29074,0.63989,0.92556,1.0954,1.2625,1.437,1.5743,1.6295,1.7317,1.7789,1.8571
0.0,0.0096253,0.003937,0.014182,0.0,0.027582,0.070087,0.29229,0.63989,0.92711,1.0846,1.2764,1.4386,1.548,1.6372,1.7286,1.7851,1.8417
0.0,0.0,0.013223,0.01573,0.0073128,0.030677,0.073183,0.30467,0.64763,0.94413,1.0861,1.2795,1.4246,1.5341,1.6186,1.7101,1.7773,1.8355
0.0,0.0003394,0.0070323,0.014182,0.0057652,0.030677,0.073183,0.30776,0.65072,0.95342,1.1062,1.2439,1.4184,1.5294,1.6202,1.6899,1.7711,1.8308
0.0,0.0,0.0054846,0.012635,0.0026699,0.033772,0.082469,0.32169,0.65691,0.94723,1.0985,1.2393,1.4293,1.5279,1.6202,1.6915,1.7634,1.8339
0.0,0.0,0.01477,0.017277,0.0011223,0.036867,0.076278,0.33407,0.65846,0.94568,1.0954,1.2578,1.4231,1.5093,1.6016,1.6776,1.751,1.8246
0.0,0.0,0.017866,0.031206,0.0,0.036867,0.093302,0.33872,0.6662,0.95032,1.0938,1.2501,1.4246,1.5,1.6063,1.6791,1.7495,1.7999
0.0,0.001887,0.003937,0.018825,0.0088605,0.033772,0.088659,0.3511,0.67084,0.95032,1.0954,1.2393,1.4215,1.4861,1.5923,1.6838,1.7448,1.7844
